order_id,date,product_id,product_name,category,brand,customer_id,customer_segment,region,city,state,quantity_sold,price,discount,stock_available,shipping_fee,payment_method,fulfillment_type,order_status,return_requested,rating,device_type,coupon_code,warehouse_zone,seller_notes,promo_flag,month,day,day_of_week,day_of_year,week_of_year,is_weekend,day_of_week_sin,day_of_week_cos,month_sin,month_cos,category_code,brand_code,city_code,state_code,region_code,customer_segment_code,payment_method_code,fulfillment_type_code,return_requested_code,device_type_code,order_status_code,product_code,lag_1,lag_2,lag_3,lag_7,rolling_mean_3,rolling_mean_7,rolling_std_7,expanding_mean,product_avg_sales,predicted_sales,revenue,stock_status,recommendation
ORD50001,2024-01-01,1001,Wireless Mouse,Electronics,Voltix,CUST3003,New,West,Ahmedabad,Gujarat,3,1800,5,201,99,Card,Warehouse,Delivered,Yes,3.6,Tablet,Unknown,B,Discount-driven sales,No,1,1,0,1,1,0,0.0,1.0,0.49999999999999994,0.8660254037844387,1.0,23.0,0.0,1.0,3.0,0.0,1.0,2.0,1.0,2.0,0.0,23.0,5.216730038022813,5.216730038022813,5.216730038022813,5.216730038022813,5.216730038022813,5.216730038022813,0.0,5.216730038022813,2.1666666666666665,3.982500913991136,7168.501645184045,Overstock,Apply Discount
ORD50002,2024-01-01,5004,Business Strategy,Books,BrightPages,CUST3019,New,North,Chandigarh,Delhi,9,850,0,215,103,COD,Warehouse,Delivered,Yes,4.7,Tablet,FLASH30,A,Discount-driven sales,No,1,1,0,1,1,0,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,5.216730038022813,5.216730038022813,5.216730038022813,5.216730038022813,5.216730038022813,5.216730038022813,0.0,5.216730038022813,5.074074074074074,8.416387995693341,7153.92979633934,Overstock,Apply Discount
ORD50003,2024-01-01,2004,Travel Hoodie,Fashion,ModaCrew,CUST3008,New,South,Hyderabad,Karnataka,2,2790,12,83,0,Card,Marketplace,Processing,No,4.8,Desktop,FLASH30,D,Premium segment,Yes,1,1,0,1,1,0,0.0,1.0,0.49999999999999994,0.8660254037844387,2.0,14.0,7.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,22.0,5.216730038022813,5.216730038022813,5.216730038022813,5.216730038022813,5.216730038022813,5.216730038022813,0.0,5.216730038022813,5.75,3.35704661873975,9366.160066283903,Overstock,Apply Discount
ORD50008,2024-01-02,5001,Data Science Notes,Books,EduTrack,CUST3014,Repeat,West,Vadodara,Gujarat,7,1315,5,275,85,COD,Warehouse,Delivered,No,4.9,Mobile,Unknown,A,High repeat orders,No,1,2,1,2,1,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.0,6.0,15.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,5.0,5.216730038022813,5.216730038022813,5.216730038022813,5.216730038022813,5.216730038022813,5.216730038022813,0.0,5.216730038022813,3.0754716981132075,7.37718727732679,9701.00126968473,Overstock,Apply Discount
ORD50006,2024-01-02,2004,Travel Hoodie,Fashion,ModaCrew,CUST3020,VIP,West,Ahmedabad,Gujarat,1,2790,15,81,0,NetBanking,Direct,Delivered,No,5.0,Tablet,FLASH30,A,Stable demand,No,1,2,1,2,1,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,2.0,14.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,2.0,0.0,22.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.8635751781383576,5199.374747006018,Overstock,Apply Discount
ORD50004,2024-01-02,2002,Denim Jacket,Fashion,UrbanBeat,CUST3034,VIP,North,Jaipur,Delhi,2,1770,5,155,85,Wallet,Warehouse,Delivered,No,4.6,Mobile,NEW10,C,Discount-driven sales,Yes,1,2,1,2,1,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,2.0,21.0,8.0,0.0,1.0,2.0,4.0,2.0,0.0,1.0,0.0,6.0,5.216730038022813,5.216730038022813,5.216730038022813,5.216730038022813,5.216730038022813,5.216730038022813,0.0,5.216730038022813,9.28125,3.6560800874697583,6471.261754821472,Overstock,Apply Discount
ORD50005,2024-01-02,5002,Startup Playbook,Books,BookNest,CUST3033,New,East,Guwahati,West Bengal,4,1870,10,204,0,Card,Direct,Delivered,No,4.3,Tablet,Unknown,C,Seasonal demand,No,1,2,1,2,1,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.0,1.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,21.0,5.216730038022813,5.216730038022813,5.216730038022813,5.216730038022813,5.216730038022813,5.216730038022813,0.0,5.216730038022813,7.672413793103448,4.982446565158694,9317.17507684676,Overstock,Apply Discount
ORD50007,2024-01-02,5003,Programming Basics,Books,MindPress,CUST3020,Repeat,South,Bangalore,Karnataka,11,665,8,285,103,UPI,Direct,Shipped,No,4.1,Mobile,SAVE15,C,High repeat orders,No,1,2,1,2,1,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.0,13.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,14.0,5.216730038022813,5.216730038022813,5.216730038022813,5.216730038022813,5.216730038022813,5.216730038022813,0.0,5.216730038022813,6.061538461538461,9.61067543859649,6391.099166666665,Overstock,Apply Discount
ORD50010,2024-01-03,4001,Coffee Press,Kitchen,MealMint,CUST3030,Repeat,West,Vadodara,Gujarat,3,1625,5,90,0,NetBanking,Warehouse,Delivered,No,4.8,Tablet,Unknown,B,Discount-driven sales,No,1,3,2,3,1,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,4.0,12.0,15.0,1.0,3.0,1.0,2.0,2.0,0.0,2.0,0.0,4.0,5.216730038022813,5.216730038022813,5.216730038022813,5.216730038022813,5.216730038022813,5.216730038022813,0.0,5.216730038022813,5.754385964912281,3.4297232651920724,5573.300305937118,Overstock,Apply Discount
ORD50011,2024-01-03,4003,Knife Set,Kitchen,KitchenHub,CUST3059,VIP,East,Patna,West Bengal,2,1810,0,130,99,UPI,Direct,Delivered,No,3.3,Tablet,Unknown,A,Seasonal demand,Yes,1,3,2,3,1,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,4.0,11.0,12.0,3.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,10.0,5.216730038022813,5.216730038022813,5.216730038022813,5.216730038022813,5.216730038022813,5.216730038022813,0.0,5.216730038022813,2.975,3.0781898910430554,5571.52370278793,Overstock,Apply Discount
